model flag error
1 0 0.939922950295771
2 0 0.999846793921718
3 0 0.94729521402363
4 0 1.00279237504488
5 0 0.978504207594449
6 0 0.971888744292217
7 0 0.926338029347497
8 0 0.995254295514041
9 0 0.962096585422254
10 0 0.973826523134909
11 0 0.981951293441259
12 0 0.975177187904081
13 0 0
14 0 0.932759578461012
15 0 0.954596788033497
16 0 0.976821274485617
17 0 1.00181443498603
18 0 0.958135763987556
19 0 0.978733740052379
20 0 0.971373107164691
21 1 0.900194990884116
22 1 0.96192009970363
23 1 0.932007296449596
24 1 0.934696197438011
25 1 0.936615223138404
26 1 0.96788328335229
27 1 0.946395688169546
28 1 0.939568250762977
29 1 1.01755598243505
30 1 0.992162242917588
31 1 0.90668467552613
32 1 0.925118422034324
33 1 0.93943566260457
34 1 0.994576825611016
35 1 0
36 1 0.966976943451339
37 1 0.963890089910262
38 1 0.991579911057946
39 1 0.942820050463793
40 1 0.973283089289875
