model flag error
1 0 0.881707318810332
2 0 0.89160859567873
3 0 0.903730438749962
4 0 0.902846379125311
5 0 0.895565573454985
6 0 0.928828119716885
7 0 0.90744565261783
8 0 0.890948821400559
9 0 0.899696292820707
10 0 0.887711412107192
11 0 0.886565009341503
12 0 0.894440503524828
13 0 0.872982289752544
14 0 0.921311555265739
15 0 0.88722197652042
16 0 0.892286416377161
17 0 0.908431626416067
18 0 0.901291368487497
19 0 0.901394358422965
20 0 0.876440748078715
21 1 0.819415340328598
22 1 0.826136724444004
23 1 0.847766942843509
24 1 0.848879947765873
25 1 0.81727034959912
26 1 0.863512303742079
27 1 0.842886930567654
28 1 0.869980099803724
29 1 0.867045333723474
30 1 0.825933456942983
31 1 0.868205246905137
32 1 0.84130612772228
33 1 0.855611240231906
34 1 0.874243138689414
35 1 0.815006704022639
36 1 0.877479069996355
37 1 0.799533396612762
38 1 0.809018188365912
39 1 0.858096664208219
40 1 0.851335735541756
