model flag error
1 0 0.975965480631684
2 0 0.97626744130781
3 0 0.980012040627377
4 0 0.978134031641557
5 0 0.973081625996634
6 0 0.977538546529255
7 0 0.977481057245964
8 0 0.97663253231036
9 0 0.975287883697903
10 0 0.977104227985213
11 0 0.977045277328002
12 0 0.977635001719333
13 0 0.977094834194514
14 0 0.971149234890147
15 0 0.974305896238944
16 0 0.97767103140432
17 0 0.975799891542593
18 0 0.979925001237914
19 0 0.977884031890035
20 0 0.976696624357699
21 1 0.970366593287051
22 1 0.971402865016795
23 1 0.962885109097192
24 1 0.967808221225274
25 1 0.962811763700983
26 1 0.963862651990432
27 1 0.966156470821536
28 1 0.966541262622213
29 1 0.961149572169615
30 1 0.963159287212321
31 1 0.972772369596024
32 1 0.968808197601827
33 1 0.966241919033251
34 1 0.960906272091263
35 1 0.968766827616862
36 1 0.963521077521157
37 1 0.965807955141303
38 1 0.967272518166162
39 1 0.971042241828369
40 1 0.965123529204515
