model flag error
1 0 1.66860783129354
2 0 1.66503030709047
3 0 1.65573064673826
4 0 1.64574573701474
5 0 1.67615801461495
6 0 1.65740777030906
7 0 1.66174488702945
8 0 1.70539655967653
9 0 1.67829796664921
10 0 1.65742053521126
11 0 1.66657222822397
12 0 1.66661837254166
13 0 1.66941043090547
14 0 1.68922899923155
15 0 1.697759946762
16 0 1.65811485557708
17 0 1.66881579929232
18 0 1.65308755568814
19 0 1.65899798905207
20 0 1.67561457418616
21 1 1.63597394580414
22 1 1.62756280444095
23 1 1.63226181306106
24 1 1.62000686916361
25 1 1.62596303152035
26 1 1.64669902433712
27 1 1.6203953454346
28 1 1.61478942584243
29 1 1.63903949897539
30 1 1.63440117193618
31 1 1.62180570991943
32 1 1.61741803483197
33 1 1.61438558341101
34 1 1.64988237579979
35 1 1.60857461777021
36 1 1.63457800080931
37 1 1.63050070411096
38 1 1.62096302248509
39 1 1.61816706521877
40 1 1.64613870517266
