model flag error
1 0 0.994744060672446
2 0 0.994427476914826
3 0 0.994296806784033
4 0 0.994592399989292
5 0 0.994244719706175
6 0 0.994699405539297
7 0 0.994483404793447
8 0 0.994532723536907
9 0 0.995375517735109
10 0 0.994568683903957
11 0 0.994640147390572
12 0 0.994146869420491
13 0 0.994700762927106
14 0 0.99453375337488
15 0 0.994999039144507
16 0 0.994254101073953
17 0 0.994202691263779
18 0 0.995194099587631
19 0 0.993376242243503
20 0 0.993983829429581
21 1 0.994964024819624
22 1 0.994834680938316
23 1 0.994997251196156
24 1 0.995103857279639
25 1 0.994567673004683
26 1 0.995671018688243
27 1 0.995161040737967
28 1 0.994883615655377
29 1 0.995308957533838
30 1 0.995360356255998
31 1 0.995128292390275
32 1 0.994561018352983
33 1 0.995443151255175
34 1 0.995232510497485
