model flag error
1 0 0.926873155568953
2 0 0.932810185298219
3 0 0.927902785490744
4 0 0.926440139408228
5 0 0.92909341896891
6 0 0.928006059381854
7 0 0.928133682053511
8 0 0.923963496803308
9 0 0.927171713671841
10 0 0.930670789663745
11 0 0.925842590236882
12 0 0.931442096199486
13 0 0.9298153938801
14 0 0.923733166253923
15 0 0.929910098070436
16 0 0.92693370716738
17 0 0.928331147298376
18 0 0.928247651472599
19 0 0.928730319477679
20 0 0.926353429942483
21 1 0.926180393245725
22 1 0.925599530641704
23 1 0.92629577433486
24 1 0.925997504946224
25 1 0.925751954819966
26 1 0.925601721255027
27 1 0.927293676077732
28 1 0.926056676039147
29 1 0.927434478183442
30 1 0.925223082470033
31 1 0.927708333290877
32 1 0.928135185620775
33 1 0.93061525926589
34 1 0.924156536607526
35 1 0.930734887927491
36 1 0.92455977325182
37 1 0.927589707586713
38 1 0.924859158170684
39 1 0.927576413954654
40 1 0.925746768990153
