model flag error
1 0 0.873565099447284
2 0 0.86477220430554
3 0 0.866405821729594
4 0 0.862970226110084
5 0 0.861360163162334
6 0 0.878465951719445
7 0 0.870105326723836
8 0 0.872075751133539
9 0 0.87644833291429
10 0 0.87140267434703
11 0 0.866116746324186
12 0 0.870729597560521
13 0 0.870153595488869
14 0 0.87207628831833
15 0 0.858813736680978
16 0 0.884039880778115
17 0 0.874093369938694
18 0 0.87072906037573
19 0 0.874766446725203
20 0 0.867461288342832
21 1 0.870009863563351
22 1 0.868039439153647
23 1 0.875775256127781
24 1 0.875005104626415
25 1 0.876159257508882
26 1 0.87663979642005
27 1 0.878129681918586
28 1 0.870442133709486
29 1 0.87193094483844
30 1 0.871498674692305
31 1 0.8804835705246
32 1 0.867510094292656
33 1 0.872700559155015
34 1 0.875536061041779
