model flag error
1 0 0.825207197564718
2 0 0.830836118446286
3 0 0.82333987392742
4 0 0.827022645052348
5 0 0.825452999158494
6 0 0.827405633825979
7 0 0.824890674421609
8 0 0.822895890970724
9 0 0.825092098239951
10 0 0.829264243560397
11 0 0.827006028644718
12 0 0.828613365337902
13 0 0.826620810879052
14 0 0.819426702087699
15 0 0.827251830238494
16 0 0.824989157338746
17 0 0.824031685404668
18 0 0.827682439242982
19 0 0.825745299237332
20 0 0.824070389667386
21 1 0.826015751450161
22 1 0.826791230874168
23 1 0.826776843458572
24 1 0.824228651238941
25 1 0.826393854684941
26 1 0.823891053704132
27 1 0.826661744133805
28 1 0.826848780536552
29 1 0.824812050367526
30 1 0.82449876967984
31 1 0.826670660101944
32 1 0.828608907353833
33 1 0.831597638009479
34 1 0.824539702934593
35 1 0.83323152054182
36 1 0.824434533041352
37 1 0.826541173361581
38 1 0.821969422859873
39 1 0.827772132757644
40 1 0.822443194111149
