model flag error
1 1 0.834107717986999
2 1 0.846641165190492
3 1 0.838179075853436
4 1 0.842187495577464
5 1 0.837479731948733
6 1 0.841933401561761
7 1 0.833280156351409
8 1 0.837585019093758
9 1 0.839705981393729
10 1 0.839240142364939
11 1 0.828657090727912
12 1 0.834043609121556
13 1 0.840215340148172
14 1 0.844923103776903
15 1 0.847468726826083
16 1 0.825793264797586
17 1 0.837415623083289
18 1 0.846937608208813
19 1 0.837903221974906
20 1 0.845728905549668
21 0 0.819495657486153
22 0 0.820768469010742
23 0 0.82293178031333
24 0 0.819050407597153
25 0 0.824543383858858
26 0 0.82706724704521
27 0 0.826388492280298
28 0 0.818816902721241
29 0 0.831859708679177
30 0 0.823715822223268
31 0 0.828742959456182
32 0 0.822231265685592
33 0 0.824267529980328
34 0 0.81010071936848
35 0 0.830566308014796
36 0 0.822253025548418
37 0 0.818774553718623
38 0 0.836101633279118
39 0 0.818095798953711
40 0 0.822613577432183
