model flag error
1 0 0.848186937551986
2 0 0.858006846401893
3 0 0.856371261934446
4 0 0.858493951724822
5 0 0.857393434424142
6 0 0.851410144643042
7 0 0.851662757952684
8 0 0.857267127769321
9 0 0.855144437978945
10 0 0.855932118455354
11 0 0.846425046429718
12 0 0.855589441083601
13 0 0.86038214950191
14 0 0.856419223778283
15 0 0.856539670807541
16 0 0.836196377067867
17 0 0.853550955729773
18 0 0.860766929091937
19 0 0.848565857516449
20 0 0.856900469475649
21 1 0.875758466324617
22 1 0.876395859224286
23 1 0.882252842350565
24 1 0.878921449901044
25 1 0.87567426188807
26 1 0.880448849010024
27 1 0.883545749446259
28 1 0.868331981871084
29 1 0.881296753001062
30 1 0.878536670311017
31 1 0.879240146350878
32 1 0.875884772979438
33 1 0.8778150729748
34 1 0.872048153910632
35 1 0.884201263642283
36 1 0.879324350787426
37 1 0.879727251673808
38 1 0.883629953882806
39 1 0.878686957887757
40 1 0.873022364556491
