model flag error
1 0 0.76471540667594
2 0 0.699087592855305
3 0 0
4 0 0.714301956150616
5 0 0
6 0 0
7 0 0.716042355590961
8 0 0.740843752205953
9 0 0
10 0 0.731772240965688
11 0 0.755377111675526
12 0 0.750849080271097
13 0 0
14 0 0.727523541970473
15 0 0.724692992235268
16 0 0
17 0 0.711030334488796
18 0 0.754813464174563
19 0 0.721192683914102
20 0 0
21 1 0.720388201833411
22 1 0.746051808980188
23 1 0.723357057420136
24 1 0.698621283934197
25 1 0.777173592449117
26 1 0
27 1 0.752054850805508
28 1 0.779339797615964
29 1 0.68438352440553
30 1 0.756648286161773
31 1 0.772919002761946
32 1 0
33 1 0.731734498705775
34 1 0.743974519327985
35 1 0.751159943645294
36 1 0.688391151904038
37 1 0.738867213860932
38 1 0.732538530213756
39 1 0
40 1 0.70911314840394
