model flag error
1 0 0
2 0 0.23721479742736
3 0 0.225781215213252
4 0 0.229133916291902
5 0 0.213899977472322
6 0 0.231585173105186
7 0 0
8 0 0.216539714580783
9 0 0.245999503863812
10 0 0
11 0 0.229876896405309
12 0 0.230631010217072
13 0 0.247522425165329
14 0 0.245498137985193
15 0 0.225267873389327
16 0 0
17 0 0.228284203223347
18 0 0
19 0 0.230591747036726
20 0 0.215221111028602
21 1 0.226900924381469
22 1 0
23 1 0.232081400687829
24 1 0.218294256100069
25 1 0.228765886045948
26 1 0.223155377873409
27 1 0.217502873832806
28 1 0.223558176982847
29 1 0.217803955397384
30 1 0.213649004685636
31 1 0.233076514719735
32 1 0
33 1 0
34 1 0.226596253770019
