model flag error
1 1 0.756619704463554
2 1 0.789209407270272
3 1 0.790196374194867
4 1 0.778346019167165
5 1 0
6 1 0.772449052995819
7 1 0
8 1 0
9 1 0.737086782975559
10 1 0
11 1 0
12 1 0.765324233785712
13 1 0.792439489037127
14 1 0
15 1 0.784010145629451
16 1 0.753665344833029
17 1 0.768365571498221
18 1 0.750691439752203
19 1 0.784399138191893
20 1 0.787682858068597
21 0 0.740454526878045
22 0 0.701859715046026
23 0 0
24 0 0.738963517998523
25 0 0
26 0 0
27 0 0.739622997699733
28 0 0.700449873541896
29 0 0.718214725308797
30 0 0.682054884844608
