model flag error
1 0 0.427908843585001
2 0 0.438988999264878
3 0 0.44206285532263
4 0 0.431134970892817
5 0 0.445515211949804
6 0 0.438634908867926
7 0 0.436705598409617
8 0 0.431254100131272
9 0 0.452551902018528
10 0 0.429374553720841
11 0 0.45737786240529
12 0 0.442204133732069
13 0 0.463224518753751
14 0 0.455712091565952
15 0 0.441712168394206
16 0 0.426018580252464
17 0 0.458174639966433
18 0 0.431969175423603
19 0 0.436919541853284
20 0 0.447589315771638
21 1 0.439736192832839
22 1 0.41815674712148
23 1 0.44073712558037
24 1 0.417960756619293
25 1 0.429703968714422
26 1 0.412557895253524
27 1 0.407385923001382
28 1 0.431317668410363
29 1 0.408481417319486
30 1 0.409692324157707
31 1 0.433833976606255
32 1 0.427185468727486
33 1 0.407038576531864
34 1 0.436109100225204
