model flag error
1 0 0.99120942594281
2 0 0.991258399335203
3 0 0.991120874585204
4 0 0.991945152773208
5 0 0.99198330364888
6 0 0.99282273788682
7 0 0.991126293806982
8 0 0.992291560739951
9 0 0.992092115878159
10 0 0.992011308020633
11 0 0.992549305739395
12 0 0.990676574985883
13 0 0.990866673705816
14 0 0.991853036149319
15 0 0.992108402087544
16 0 0.99097857036338
17 0 0.991688970958722
18 0 0.992164489336578
19 0 0.991974142582703
20 0 0.992324018781007
21 1 0.992564007623139
22 1 0.992329997403473
23 1 0.992604939138145
24 1 0.992604274776031
25 1 0.992877827203281
26 1 0.99260537793856
27 1 0.992233762343973
28 1 0.992467221165806
29 1 0.992725988568558
30 1 0.992214799425919
31 1 0.992291990471143
32 1 0.993044858721505
33 1 0.992261741540298
34 1 0.992310767157226
35 1 0.99299267067449
36 1 0.992053820724621
37 1 0.992752663201702
38 1 0.993065843516637
39 1 0.993240992331581
40 1 0.992486315664823
