model flag error
1 0 0.963212216602585
2 0 0.964295839436638
3 0 0.96452080584898
4 0 0.966030123073304
5 0 0.965525157154519
6 0 0.963183785902731
7 0 0.96504151657255
8 0 0.964831246110242
9 0 0.96453763880695
10 0 0.965292509262549
11 0 0.964578611807033
12 0 0.964175876518845
13 0 0.965705128783825
14 0 0.96477492965983
15 0 0.965015807515553
16 0 0.964225985748995
17 0 0.96431770665997
18 0 0.962068184249281
19 0 0.964925452331932
20 0 0.960834866476404
21 1 0.958505527970432
22 1 0.961190449641372
23 1 0.961911229664826
24 1 0.958040905823689
25 1 0.956456847922419
26 1 0.951462641613842
27 1 0.953837633283385
28 1 0.956715221875435
29 1 0.95819182598113
30 1 0.95952206794113
