model flag error
1 0 1.25382569169479
2 0 1.24964615217253
3 0 1.25708382923282
4 0 1.25275836079428
5 0 1.25437174078885
6 0 1.25311647550929
7 0 1.22659328958099
8 0 1.25213625270706
9 0 1.246491025535
10 0 1.2637143978666
11 0 1.26364907936872
12 0 1.29274743809445
13 0 1.25650298708675
14 0 1.23117764248028
15 0 1.26169324162146
16 0 1.26821647824536
17 0 1.26888138541801
18 0 1.26786534347256
19 0 1.24681678945225
20 0 1.31734347780553
21 1 1.24894981202432
22 1 1.2565220986536
23 1 1.2331372003375
24 1 1.26009912744066
25 1 1.28418538671237
26 1 1.32051517701546
27 1 1.30072837715822
28 1 1.26871394635556
29 1 1.33183183832706
30 1 1.22351721926058
