model flag error
1 0 1.4476941469077
2 0 1.42263669778548
3 0 1.42529644420709
4 0 1.37752375637255
5 0 1.38173573161939
6 0 1.34864606551442
7 0 1.45002259268496
8 0 1.37279976112129
9 0 1.41263600895066
10 0 1.37501025759841
11 0 1.38873178662219
12 0 1.46520511517401
13 0 1.42725061195444
14 0 1.41087734400794
15 0 1.35873054164107
16 0 1.43760722567176
17 0 1.40829187781337
18 0 1.38043160402903
19 0 1.38113474882766
20 0 1.37426207384004
21 1 1.32593308784994
22 1 1.35487463437076
23 1 1.33777810015792
24 1 1.32298957585665
25 1 1.32226618242015
26 1 1.32618599178964
27 1 1.31845052754741
28 1 1.37983421481088
29 1 1.32786946616541
30 1 1.35841613966216
31 1 1.36566552470624
32 1 1.30827325478599
33 1 1.35251325742465
34 1 1.35277222586007
35 1 1.29291872424518
36 1 1.35699124266678
37 1 1.31724195323509
38 1 1.31732549097332
39 1 1.30483341491754
40 1 1.33166795361843
