model flag error
1 0 3.28865216548908
2 0 3.33557446497285
3 0 3.28528564614137
4 0 3.32392638197682
5 0 3.31094370901862
6 0 3.35489562233194
7 0 3.33203534631862
8 0 3.33338753265463
9 0 3.36535238516215
10 0 3.29441673077796
11 0 3.41214792138028
12 0 3.32488504849569
13 0 3.36951964601196
14 0 3.39404113866467
15 0 3.33752591042644
16 0 3.26404204610228
17 0 3.40224149847661
18 0 3.38006304544759
19 0 3.30103333026306
20 0 3.33472024130368
21 1 3.30831545321607
22 1 3.26745438771469
23 1 3.29892624382157
24 1 3.2249336811917
25 1 3.31311694314322
26 1 3.29989632933038
27 1 3.28951179266288
28 1 3.3258292687261
29 1 3.25172006320723
30 1 3.26497985480517
31 1 3.3031359289628
32 1 3.30115711753577
33 1 3.22505898884415
34 1 3.31635372160015
