model flag error
1 1 2.7951071896585
2 1 2.69226387793331
3 1 2.66426130771944
4 1 2.73404949450216
5 1 2.70053398472782
6 1 2.73043224554444
7 1 2.7918997612907
8 1 2.7807225988088
9 1 2.73271937769665
10 1 2.76912222382466
11 1 2.72141237922522
12 1 2.71287508306765
13 1 2.70259027270889
14 1 2.69341855286291
15 1 2.72039424088899
16 1 2.69074898455505
17 1 2.67717320398321
18 1 2.69186099267822
19 1 2.75327894206936
20 1 2.71945113985865
21 0 2.74206433756851
22 0 2.76824361162027
23 0 2.77694610270496
24 0 2.81444878457002
25 0 2.83804321021828
26 0 2.82550274684571
27 0 2.76770086064749
28 0 2.85768372405238
29 0 2.79304569527512
30 0 2.8084002066892
31 0 2.81325340335588
32 0 2.73414020119807
33 0 2.76766179599575
34 0 2.90677243020453
35 0 2.78025562680398
36 0 2.76510510436632
37 0 2.7834854879563
38 0 2.77039824064937
39 0 2.77530263843235
40 0 2.76419526291043
