model flag error
1 0 1.68794575188305
2 0 1.5904983631093
3 0 1.57813791144812
4 0 1.58279063607626
5 0 1.63788111252681
6 0 1.67751027110426
7 0 1.62729568186151
8 0 1.75348223570957
9 0 1.56997917862586
10 0 1.63489567446287
11 0 1.65199720237633
12 0 1.63400724718482
13 0 1.56832217084794
14 0 1.59620813696881
15 0 1.60996055463343
16 0 1.65742215048873
17 0 1.51897285331998
18 0 1.644434025842
19 0 1.71276632771685
20 0 1.58722479530392
21 1 1.21030832235441
22 1 1.24952174346174
23 1 1.24352881833469
24 1 1.23204263080799
25 1 1.33684546689206
26 1 1.34387476215621
27 1 1.23757878569958
28 1 1.34485905345788
29 1 1.32437342712722
30 1 1.34186253224618
31 1 1.2685326638115
32 1 1.24295268822187
33 1 1.27055716973797
34 1 1.31794255971876
35 1 1.28672891583211
36 1 1.26692544479836
37 1 1.19973738452305
38 1 1.27803995883909
39 1 1.24773879085312
40 1 1.32526193275351
