model flag error
1 0 3.43288880035843
2 0 3.36296414256676
3 0 3.30711281468614
4 0 3.44755811691303
5 0 3.35147500845688
6 0 3.43395722217311
7 0 3.26750585752689
8 0 3.38426496007223
9 0 3.47686716156938
10 0 3.3879105080482
11 0 3.39737497876346
12 0 3.35476786455278
13 0 3.32294592839688
14 0 3.33771073750978
15 0 3.31390473296084
16 0 3.38944568021556
17 0 3.38952117325821
18 0 3.4085078108933
19 0 3.43409457376295
20 0 3.39423323271448
21 1 3.33822573033893
22 1 3.35742340574638
23 1 3.39315535994352
24 1 3.34328564391251
25 1 3.41053499399955
26 1 3.4103706551509
27 1 3.38628347514048
28 1 3.34272755948196
29 1 3.34469471242786
30 1 3.41941352897306
31 1 3.44982258286826
32 1 3.36379017264905
33 1 3.30129374324751
34 1 3.38154241208689
