model flag error
1 0 1.21096223063872
2 0 1.24634886995366
3 0 1.28291910714532
4 0 1.26963012401278
5 0 1.23124021949404
6 0 1.18383420134851
7 0 1.17884994053109
8 0 1.31399718325472
9 0 1.26498890925895
10 0 1.20640212864309
11 0 1.27924114696415
12 0 1.25251290634043
13 0 1.25610785065179
14 0 1.24832825987277
15 0 1.25535058777013
16 0 1.30124401150375
17 0 1.25271797359284
18 0 1.20360646397949
19 0 1.29690313406817
20 0 1.20033821008484
21 1 1.14127853164026
22 1 1.13627440154956
23 1 1.13036764217995
24 1 1.11016401841085
25 1 1.13480746024623
26 1 1.10805358751586
27 1 1.14274326493983
28 1 1.10284531893938
29 1 1.20446679210814
30 1 1.28346405732517
31 1 1.07419519230207
32 1 1.08914904634218
33 1 1.17209760005526
34 1 1.19978707267506
35 1 0
36 1 1.18296653034345
37 1 1.24784392216184
38 1 1.1961627197755
39 1 1.23828247603195
40 1 1.1772670457964
