model flag error
1 0 0.253056753515217
2 0 0.235899864089019
3 0 0.255015582943233
4 0 0.269351675225157
5 0 0.2372563146399
6 0 0.25425749920579
7 0 0.248949961721577
8 0 0.221655753877741
9 0 0.246175639408213
10 0 0.221527652880508
11 0 0.235715827147276
12 0 0.233130772517141
13 0 0.250643670889546
14 0 0.280791953707348
15 0 0.253599222022906
16 0 0.233108460492295
17 0 0.24672780995416
18 0 0.268100608485483
19 0 0.268616958910293
20 0 0.255938205334246
21 1 0.257287106609837
22 1 0.241289152510197
23 1 0.227244963780926
24 1 0.223297955568537
25 1 0.236234832527574
26 1 0.215238355639434
27 1 0.239782887901536
28 1 0.248760660407959
29 1 0.221323190073576
30 1 0.22434770986502
31 1 0.226410445260043
32 1 0.225367795325876
33 1 0.220349574462905
34 1 0.242590896362685
