model flag error
1 0 1.43879267403362
2 0 1.46317769986421
3 0 1.47610253609741
4 0 1.42382096271268
5 0 1.46213888138484
6 0 1.40999375673698
7 0 1.48618592428015
8 0 1.47714887094178
9 0 1.45188450873904
10 0 1.43352397235621
11 0 1.48702075932576
12 0 1.43556937732273
13 0 1.4243978276896
14 0 1.44953976338464
15 0 1.45659520855494
16 0 1.48075629141085
17 0 1.50360460978269
18 0 1.44828287630424
19 0 1.47803213772306
20 0 1.46862970333939
21 1 1.36433301405188
22 1 1.37133996829391
23 1 1.35208266209339
24 1 1.31392746814242
25 1 1.39347465675664
26 1 1.33497298651238
27 1 1.39079608172647
28 1 1.32900534139241
29 1 1.35891457033777
30 1 1.43911921287035
31 1 1.33928768195938
32 1 1.33911072105884
33 1 1.38488993744042
34 1 1.40541304665697
35 1 1.37770928578416
36 1 1.38320927286847
37 1 1.42123188933573
38 1 1.36963441933723
39 1 1.39707846841254
40 1 1.40181629841106
