model flag error
1 1 1.55390150650118
2 1 1.48575424198595
3 1 1.57608472682484
4 1 1.58197394157716
5 1 1.61639772774102
6 1 1.59329781257626
7 1 1.62304360045695
8 1 1.56081116147248
9 1 1.55233600341147
10 1 1.59022700353006
11 1 1.66308442707433
12 1 1.58432764123641
13 1 1.59033943089475
14 1 1.50842067458367
15 1 1.67358311005995
16 1 1.70000339612926
17 1 1.58032699582471
18 1 1.57252779321272
19 1 1.58725540371916
20 1 1.61075290611466
21 0 1.86096730582399
22 0 1.85603801359121
23 0 1.8056772330072
24 0 1.84883969067333
25 0 1.84190414178019
26 0 1.84427006395482
27 0 1.80592057590329
28 0 1.85502363369012
29 0 1.82069737050244
30 0 1.85731325348872
31 0 1.84292385284587
32 0 1.80979265471437
33 0 1.83511112804906
34 0 1.82039071148381
35 0 1.79880114021514
36 0 1.8612558962356
37 0 1.8612404722378
38 0 1.82581011355014
39 0 1.82316596501784
40 0 1.85206958462227
