model flag error
1 0 0.999528873781905
2 0 0.999520418361653
3 0 0.99949523837353
4 0 0.999526544732943
5 0 0.999500357826911
6 0 0.999485853696941
7 0 0.999516125298593
8 0 0.999518686958368
9 0 0.999502856413375
10 0 0.999535057552396
11 0 0.999516050950747
12 0 0.999509970946705
13 0 0.999541482482435
14 0 0.999457752898683
15 0 0.999506660387347
16 0 0.999520591742988
17 0 0.999481446692714
18 0 0.999467844307059
19 0 0.999483212762268
20 0 0.999532402052473
21 1 0.999558088490972
22 1 0.999541811677738
23 1 0.9995327775228
24 1 0.999518707285421
25 1 0.999590405525707
26 1 0.999553191699497
27 1 0.999553369773807
28 1 0.999489828245715
29 1 0.999502017482086
30 1 0.999559026952964
31 1 0.999490388814036
32 1 0.999583432019322
33 1 0.999542473014384
34 1 0.999509574764103
35 1 0.999573907675659
36 1 0.999507285966295
37 1 0.999604146601385
38 1 0.999607260844815
39 1 0.999515319832418
40 1 0.999541419172211
