model flag error
1 0 0.999576074218529
2 0 0.999600885527989
3 0 0.999532752322859
4 0 0.999628717663632
5 0 0.99957814939704
6 0 0.999618059731891
7 0 0.999601122950475
8 0 0.999568630458385
9 0 0.99957606060356
10 0 0.999544501307116
11 0 0.999545953109105
12 0 0.999563360168175
13 0 0.999601033407206
14 0 0.999592077558539
15 0 0.9994578899291
16 0 0.999545363395264
17 0 0.999538870335296
18 0 0.999562980892115
19 0 0.999533122229335
20 0 0.999468296031028
21 1 0.999422577091611
22 1 0.999476610712236
23 1 0.999511397851951
24 1 0.99959103344423
25 1 0.999486762732193
26 1 0.999551627614066
27 1 0.999583006883922
28 1 0.999463485593837
29 1 0.999509636922876
30 1 0.999558502319274
31 1 0.999622240123324
32 1 0.999555454570269
33 1 0.999568852441645
34 1 0.999453952153926
