model flag error
1 0 0.998751070729883
2 0 0.998726304343563
3 0 0.998644231303417
4 0 0.998706649996646
5 0 0.998711140737465
6 0 0.998709502999374
7 0 0.998635915550904
8 0 0.998713218290057
9 0 0.998713678801583
10 0 0.998734022101957
11 0 0.99860148249138
12 0 0.998753914600755
13 0 0.998783009919647
14 0 0.998701916073377
15 0 0.998749023956347
16 0 0.998660537518718
17 0 0.998639403769739
18 0 0.998649929091748
19 0 0.998653957384534
20 0 0.998614968168
21 1 0.998897795338772
22 1 0.998902816497809
23 1 0.998940732995918
24 1 0.998966442120379
25 1 0.998884085352201
26 1 0.998947509921276
27 1 0.99889427059526
28 1 0.998966108838639
29 1 0.998933944699546
30 1 0.998843783662777
31 1 0.998925950512433
32 1 0.998940871576715
33 1 0.998950960085906
34 1 0.998869113389756
35 1 0.998943567610435
36 1 0.99893506674546
37 1 0.998875268539975
38 1 0.998929597499578
39 1 0.998906610831686
40 1 0.998846160288097
