model flag error
1 0 0.398333843000315
2 0 0.412128148751532
3 0 0.399107757186794
4 0 0.38437867249494
5 0 0.393771727157454
6 0 0.417986197902917
7 0 0.40997596568013
8 0 0.363165497240926
9 0 0.393225378465053
10 0 0.38520173457751
11 0 0.399866036479451
12 0 0.397470539150648
13 0 0.374459410958111
14 0 0.409768506724927
15 0 0.377101257240347
16 0 0.385671229940411
17 0 0.391289234609576
18 0 0.423963265827886
19 0 0.402111270526044
20 0 0.367497832750527
21 1 0.334875528025177
22 1 0.387754422152633
23 1 0.366107709437517
24 1 0.366320946287805
25 1 0.348576702896436
26 1 0.34479218983992
27 1 0.347004004200301
28 1 0.416142292120903
29 1 0.446162744879583
30 1 0.367982196569616
31 1 0.380168158228719
32 1 0.341157181991976
33 1 0.345865338384065
34 1 0.402175209188143
35 1 0.340560864090837
36 1 0.352778440073067
37 1 0.335381134251449
38 1 0.346875667036784
39 1 0.394128640755612
40 1 0.362708170754055
