model flag error
1 0 0.438766461650397
2 0 0.422878119067456
3 0 0.457357874875336
4 0 0.480600770786984
5 0 0.4280154739634
6 0 0.488636189010068
7 0 0.468052268884164
8 0 0.386079299666989
9 0 0.471700278328608
10 0 0.38190347268371
11 0 0.421593981717553
12 0 0.40416770953882
13 0 0.437929537832316
14 0 0.54985616107931
15 0 0.465627770305326
16 0 0.409361783949029
17 0 0.46694372246902
18 0 0.47552064127992
19 0 0.471526467158976
20 0 0.480585751012402
21 1 0.453827905850064
22 1 0.439977937437508
23 1 0.382009717250543
24 1 0.36525663689846
25 1 0.421158640541918
26 1 0.341242599396984
27 1 0.45447467316823
28 1 0.453224825332526
29 1 0.364621205110642
30 1 0.369078713894169
31 1 0.435546780225671
32 1 0.389288726133688
33 1 0.378926205389747
34 1 0.438972215564342
