model flag error
1 0 0.925834736367773
2 0 0.925834736367773
3 0 0.924740045576915
4 0 0.91817190083177
5 0 0.920908627808914
6 0 0.923098009390629
7 0 0.925287390972344
8 0 0.930067067694293
9 0 0.932256748842484
10 0 0.925834736367773
11 0 0.931308190322061
12 0 0.926382081763202
13 0 0.925287390972344
14 0 0.924740045576915
15 0 0.925834736367773
16 0 0.929666154135774
17 0 0.92568770539791
18 0 0.935139608090062
19 0 0.928024117949488
20 0 0.928571463344917
21 1 0.919813937018056
22 1 0.920361282413485
23 1 0.929666154135774
24 1 0.93185553571749
25 1 0.929666154135774
26 1 0.93185553571749
27 1 0.926929427158631
28 1 0.921455973204343
29 1 0.933497571903776
30 1 0.925834736367773
31 1 0.935139608090062
32 1 0.929666154135774
33 1 0.921455973204343
34 1 0.91817190083177
