model flag error
1 0 0.911249814627009
2 0 0.908826600121951
3 0 0.907548796792907
4 0 0.908584278671445
5 0 0.905676421265376
6 0 0.908584278671445
7 0 0.907614992869422
8 0 0.912946064780549
9 0 0.907130349968411
10 0 0.910522850275492
11 0 0.910765171725997
12 0 0.911249814627009
13 0 0.913673029132067
14 0 0.907130349968411
15 0 0.908826600121951
16 0 0.909421402480999
17 0 0.909795885923974
18 0 0.909068921572457
19 0 0.905676421265376
20 0 0.909311243022963
21 1 0.922154279899769
22 1 0.9192464224937
23 1 0.923608208602804
24 1 0.926031423107862
25 1 0.919488743944206
26 1 0.922088964431778
27 1 0.920150275413262
28 1 0.924092851503816
29 1 0.921184994097746
30 1 0.918519458142182
31 1 0.919004101043194
32 1 0.920700351196735
33 1 0.921361956049835
34 1 0.920700351196735
35 1 0.92094267264724
36 1 0.920392611540576
37 1 0.917065529439148
38 1 0.915853922186619
39 1 0.917792493790665
40 1 0.911976778978526
