model flag error
1 0 1.16931714885863
2 0 1.28236026512743
3 0 1.23780511768401
4 0 1.19579609625257
5 0 1.19983992313305
6 0 1.21405547226988
7 0 1.27350980002162
8 0 1.2805764273642
9 0 1.26196968867846
10 0 1.26146693207438
11 0 1.19516174284308
12 0 1.20572205675762
13 0 1.18144210958366
14 0 1.24813723758011
15 0 1.31625349063197
16 0 1.19478114834525
17 0 1.26256945305303
18 0 1.21825035631069
19 0 1.23970975072238
20 0 1.19309591860495
21 1 1.17847353483644
22 1 1.20612511507855
23 1 1.1358981328737
24 1 1.17468522231953
25 1 1.17714607815129
26 1 1.13149212752947
27 1 1.19346858466332
28 1 1.17228006596047
29 1 1.12880167738367
30 1 1.1148334854235
31 1 1.23203912205745
32 1 1.23422331430418
33 1 1.19962864853376
34 1 1.21472002629593
35 1 1.21544390458249
36 1 1.16966909211302
37 1 1.1768645609873
38 1 1.16151863576425
39 1 1.12333683184435
40 1 1.15589125955897
