model flag error
1 0 0.918118665703713
2 0 0.885594322665571
3 0 0.917836796035314
4 0 0.878954140176114
5 0 0.912019830186151
6 0 0.9013701058983
7 0 0.902113273126507
8 0 0.886686219311182
9 0 0.890508668267277
10 0 0.860089966547101
11 0 0.922109618080081
12 0 0.91499993982717
13 0 0.864164599490777
14 0 0.895076438942939
15 0 0.849758961633549
16 0 0.874753752321035
17 0 0.899398925639866
18 0 0.888209226238949
19 0 0.883685173143569
20 0 0.869424785122949
21 1 0.80712420976629
22 1 0.818670329350804
23 1 0.812411165726643
24 1 0.820006654301904
25 1 0.800123235226685
26 1 0.814677792909995
27 1 0.803670033134868
28 1 0.860716555995757
29 1 0.812195691325698
30 1 0.79459818466508
31 1 0.845700959051012
32 1 0.801515114571299
33 1 0.844729520816249
34 1 0.821435917876084
35 1 0.787024745377755
36 1 0.850796673304166
37 1 0.788403192751184
38 1 0.800094772758299
39 1 0.84854967133422
40 1 0.83393247437699
