model flag error
1 0 1.73767580861209
2 0 1.79290194387172
3 0 1.77476094313761
4 0 1.71226308183388
5 0 1.76432885018252
6 0 1.73588131334604
7 0 1.77387989087375
8 0 1.78654178317706
9 0 1.75040073351253
10 0 1.75361194551448
11 0 1.76436334746565
12 0 1.76400952787196
13 0 1.73854872513779
14 0 1.74773427723899
15 0 1.79859095053588
16 0 1.75249669336935
17 0 1.7855421926669
18 0 1.75570379626757
19 0 1.7595313861245
20 0 1.73879504944929
21 1 1.71066022506434
22 1 1.69661641540459
23 1 1.67656772666246
24 1 1.66835326978406
25 1 1.72274560375523
26 1 1.69737583118699
27 1 1.69647129524088
28 1 1.66677086455249
29 1 1.68857551722042
30 1 1.70373441945395
31 1 1.72498534218972
32 1 1.7063627020019
33 1 1.7230979187391
34 1 1.72073348910042
35 1 1.72057578630215
36 1 1.70356383406331
37 1 1.72254782710374
38 1 1.6841504859437
39 1 1.70424401715079
40 1 1.71146398420616
