model flag error
1 0 0.999607291969238
2 0 0.999645089194574
3 0 0.999619071635487
4 0 0.999643778877724
5 0 0.999619875178631
6 0 0.999621926207664
7 0 0.999623730509508
8 0 0.999614850589231
9 0 0.999633467012374
10 0 0.999659053699168
11 0 0.999595809016422
12 0 0.999609064479732
13 0 0.999652306700555
14 0 0.999616846469127
15 0 0.999635195141422
16 0 0.999640051831764
17 0 0.99961588427526
18 0 0.999614634624576
19 0 0.999632988476647
20 0 0.99963885103895
21 1 0.999678052462494
22 1 0.999658254573104
23 1 0.999655646295578
24 1 0.999653480519653
25 1 0.99968548993567
26 1 0.999663191499188
27 1 0.999671671723436
28 1 0.99961987780503
29 1 0.999667233345471
30 1 0.999663684015117
31 1 0.999635637957795
32 1 0.999688707592439
33 1 0.999645542192789
34 1 0.999652880136339
35 1 0.999672839144233
36 1 0.999637102219181
37 1 0.999684065495393
38 1 0.999674423760508
39 1 0.999638989143357
40 1 0.99966760488676
