model flag error
1 0 0.999683845319376
2 0 0.999686079479748
3 0 0.999669565611827
4 0 0.999673806267682
5 0 0.999666734092381
6 0 0.999664879504358
7 0 0.999650690080217
8 0 0.99968102608225
9 0 0.99967417763045
10 0 0.999691586494445
11 0 0.999707743735661
12 0 0.999660425620532
13 0 0.999667560010689
14 0 0.999651801859988
15 0 0.99965883744254
16 0 0.999717838764133
17 0 0.999630882911841
18 0 0.999700591437312
19 0 0.999666583860204
20 0 0.999684769613932
21 1 0.999647957917521
22 1 0.999659148789649
23 1 0.999669087998868
24 1 0.999715507731037
25 1 0.999664665541448
26 1 0.999708397702176
27 1 0.99964442107437
28 1 0.999650831827581
29 1 0.999714615678746
30 1 0.999698953278023
31 1 0.999671547484627
32 1 0.999669697395221
33 1 0.999698502642832
34 1 0.999659392889442
