model flag error
1 0 0.99915830812762
2 0 0.999221004155233
3 0 0.999247662153435
4 0 0.999273555008315
5 0 0.999182817156392
6 0 0.999151534643295
7 0 0.999197883107697
8 0 0.999154790517096
9 0 0.999204494130901
10 0 0.999060911619124
11 0 0.999006424928986
12 0 0.99916123801025
13 0 0.999282109864365
14 0 0.999178985971062
15 0 0.999245551857084
16 0 0.999108091913534
17 0 0.999193088210669
18 0 0.999269887558241
19 0 0.999170456536758
20 0 0.999211456515917
21 1 0.999645159877144
22 1 0.999611188703073
23 1 0.999620621690274
24 1 0.999615538016082
25 1 0.999617734169435
26 1 0.999611055139126
27 1 0.999621092618547
28 1 0.999573411168889
29 1 0.99964002933989
30 1 0.999622391613073
31 1 0.999604539415832
32 1 0.999633424695965
33 1 0.999635560333635
34 1 0.999476463421632
35 1 0.999667250284811
36 1 0.99959694972961
37 1 0.999635278649997
38 1 0.999656445909927
39 1 0.999608794287608
40 1 0.999595528365663
