model flag error
1 0 0.972829131652661
2 0 0.980952380952381
3 0 0.974789915966387
4 0 0.976750700280112
5 0 0.977310924369748
6 0 0.975910364145658
7 0 0.976470588235294
8 0 0.97563025210084
9 0 0.972268907563025
10 0 0.972549019607843
11 0 0.972829131652661
12 0 0.973389355742297
13 0 0.975070028011205
14 0 0.978991596638656
15 0 0.975910364145658
16 0 0.972268907563025
17 0 0.97703081232493
18 0 0.972268907563025
19 0 0.975350140056022
20 0 0.969747899159664
21 1 0.980952380952381
22 1 0.980672268907563
23 1 0.981512605042017
24 1 0.978991596638656
25 1 0.982072829131653
26 1 0.980392156862745
27 1 0.982633053221289
28 1 0.980672268907563
29 1 0.981232492997199
30 1 0.980672268907563
