model flag error
1 0 0.988654834600009
2 0 0.990093572903396
3 0 0.989409868567486
4 0 0.990071607433115
5 0 0.990269296665642
6 0 0.989258885032729
7 0 0.989149057681325
8 0 0.988775644686553
9 0 0.989522470676097
10 0 0.989808021789747
11 0 0.988501076308044
12 0 0.988512059043184
13 0 0.989994728287133
14 0 0.987699336642798
15 0 0.990390106752186
16 0 0.990423054957607
17 0 0.988050784167289
18 0 0.988885472037956
19 0 0.989577384351799
20 0 0.99174098317445
21 1 0.990071607433115
22 1 0.989928831876291
23 1 0.989566401616659
24 1 0.990499934103589
25 1 0.98990686640601
26 1 0.990126521108817
27 1 0.989829987260027
28 1 0.98868778280543
29 1 0.988753679216272
30 1 0.989676228968062
31 1 0.988248473399815
32 1 0.990060624697975
33 1 0.989555418881518
34 1 0.99114791547687
35 1 0.990961208979484
36 1 0.988468128102623
37 1 0.990675657865835
38 1 0.990324210341343
39 1 0.989808021789747
40 1 0.989050213065062
