model flag error
1 0 0.994634383680793
2 0 0.993360049771594
3 0 0.993695400800331
4 0 0.993930146520446
5 0 0.993460655080215
6 0 0.995154177775334
7 0 0.994315800203493
8 0 0.994885896952345
9 0 0.994416405512114
10 0 0.994852361849471
11 0 0.994651151232229
12 0 0.994952967158092
13 0 0.993997216726193
14 0 0.993879843866136
15 0 0.992940860985674
16 0 0.995992555347175
17 0 0.995187712878208
18 0 0.995338620841139
19 0 0.994349335306367
20 0 0.995590134112691
21 1 0.993091768948605
22 1 0.993980449174757
23 1 0.995053572466713
24 1 0.996529116993153
25 1 0.995590134112691
26 1 0.995556599009818
27 1 0.995455993701197
28 1 0.994047519380504
29 1 0.995422458598323
30 1 0.994533778372172
31 1 0.99649558189028
32 1 0.994835594298034
33 1 0.994164892240562
34 1 0.994081054483378
