model flag error
1 0 4.1941216968594
2 0 4.18717809492176
3 0 4.13758596656716
4 0 4.19994000483306
5 0 4.17776550905037
6 0 4.2377827857293
7 0 4.2190471093937
8 0 4.20151878294695
9 0 4.2693873034879
10 0 4.1563624349342
11 0 4.17982247259582
12 0 4.19047511751857
13 0 4.21715196172212
14 0 4.24825013432913
15 0 4.14224929433658
16 0 4.13207566431128
17 0 4.25815549711237
18 0 4.20736799001885
19 0 4.19507801188705
20 0 4.18560630666302
21 1 4.1574162772537
22 1 4.12468333346815
23 1 4.16660141238573
24 1 4.11522264447097
25 1 4.19337441204383
26 1 4.15619783745096
27 1 4.1822166341478
28 1 4.20375410170182
29 1 4.11542614181419
30 1 4.1413082117678
31 1 4.17967272200943
32 1 4.18767204195155
33 1 4.10661104349072
34 1 4.15504015421421
