model flag error
1 1 1.3741975349705
2 1 1.46341197774027
3 1 1.42264871882704
4 1 1.44104331688838
5 1 1.37365333966712
6 1 1.4524991548803
7 1 1.43732586267904
8 1 1.44598889402629
9 1 1.40035728508899
10 1 1.3848490622015
11 1 1.43858260488773
12 1 1.32752988024419
13 1 1.43593015106871
14 1 1.39490016275629
15 1 1.43708921352113
16 1 1.4040586714703
17 1 1.38609155110196
18 1 1.48806184572126
19 1 1.47542503668315
20 1 1.42426710696987
21 0 1.24084469884571
22 0 1.2582827980291
23 0 1.23557743461265
24 0 1.24976211398791
25 0 1.26014122345319
26 0 1.26835345195221
27 0 1.25389935459133
28 0 1.24041524342122
29 0 1.25320100270489
30 0 1.42960852194191
