model flag error
1 0 0.949678015764504
2 0 0.942431638365708
3 0 0.944041944454329
4 0 0.944041944454329
5 0 0.944041944454329
6 0 0.954508934030369
7 0 0.948872862720194
8 0 0.947262556631572
9 0 0.949678015764504
10 0 0.949678015764504
11 0 0.949678015764504
12 0 0.952093474897436
13 0 0.947262556631572
14 0 0.943236791410018
15 0 0.940821332277086
16 0 0.956924393163301
17 0 0.952093474897436
18 0 0.95611924011899
19 0 0.949678015764504
20 0 0.956924393163301
21 1 0.944041944454329
22 1 0.945652250542951
23 1 0.952093474897436
24 1 0.961755311429165
25 1 0.955314087074679
26 1 0.955314087074679
27 1 0.953703780986058
28 1 0.945652250542951
29 1 0.952093474897436
30 1 0.950483168808815
31 1 0.959339852296233
32 1 0.951288321853126
33 1 0.946457403587261
34 1 0.944041944454329
