model flag error
1 1 0.884910485933504
2 1 0.89769820971867
3 1 0.894288150042626
4 1 0.895140664961637
5 1 0.887468030690537
6 1 0.89002557544757
7 1 0.89002557544757
8 1 0.896845694799659
9 1 0.895993179880648
10 1 0.886615515771526
11 1 0.884057971014493
12 1 0.890878090366581
13 1 0.891730605285592
14 1 0.899403239556692
15 1 0.892583120204604
16 1 0.891730605285592
17 1 0.893435635123615
18 1 0.903665814151748
19 1 0.895993179880648
20 1 0.901108269394715
21 0 0.87382779198636
22 0 0.870417732310315
23 0 0.870417732310315
24 0 0.872122762148338
25 0 0.87382779198636
26 0 0.87382779198636
27 0 0.874680306905371
28 0 0.874680306905371
29 0 0.883205456095482
30 0 0.878942881500426
31 0 0.871270247229327
32 0 0.878090366581415
33 0 0.875532821824382
34 0 0.86615515771526
35 0 0.878942881500426
36 0 0.871270247229327
37 0 0.87382779198636
38 0 0.88150042625746
39 0 0.874680306905371
40 0 0.871270247229327
