model flag error
1 0 0.746624680980811
2 0 0.682085241804368
3 0 0.733030567426451
4 0 0.670945019773581
5 0 0.721242434279358
6 0 0.747495187966281
7 0 0.650798723344413
8 0 0.692124388627271
9 0 0.671561420328704
10 0 0.699479440872336
11 0 0.748970550429861
12 0 0.741474609525416
13 0 0.658707410659732
14 0 0.681378026190043
15 0 0.667424570684628
16 0 0.703596853181228
17 0 0.667242489142786
18 0 0.723513720406332
19 0 0.650102298004845
20 0 0.68796495374372
21 1 0.641895022903923
22 1 0.677627002268335
23 1 0.661104537915088
24 1 0.627321943930954
25 1 0.750092318776822
26 1 0.661545663116637
27 1 0.661784662545214
28 1 0.737594167704703
29 1 0.626550062204677
30 1 0.681134610174394
31 1 0.7583726071124
32 1 0.656019880369174
33 1 0.664062895401724
34 1 0.674041002986892
35 1 0.663084809108944
36 1 0.674017449686668
37 1 0.705513052401572
38 1 0.675259994447016
39 1 0.736187949210024
40 1 0.712147345160239
