model flag error
1 0 0.137344890753871
2 0 0.14440720282705
3 0 0.149346226900524
4 0 0.145307359522003
5 0 0.117012755658381
6 0 0.137012891161976
7 0 0.143392469296526
8 0 0.127853545729334
9 0 0.15580711016748
10 0 0.146111526237884
11 0 0.132849388658382
12 0 0.146157433217486
13 0 0.157799490995642
14 0 0.151878968406979
15 0 0.135283833948677
16 0 0
17 0 0.136921341429386
18 0 0.144238506416358
19 0 0.144861729224558
20 0 0.117487553295054
21 1 0.136602804135977
22 1 0
23 1 0.145582786159554
24 1 0.127597076708398
25 1 0.142781223176525
26 1 0.143254852438341
27 1 0.13880264528783
28 1 0.130520252099414
29 1 0.137171753531687
30 1 0.124364433226542
31 1 0.148539099339938
32 1 0.128457807076882
33 1 0.120041804392388
34 1 0.142308964945091
