model flag error
1 1 1.02856029525309
2 1 1.03062383607121
3 1 0
4 1 1.00772592569304
5 1 1.03225447329799
6 1 1.18626781156418
7 1 1.07796889370293
8 1 1.16456275133683
9 1 1.04241502360027
10 1 0
11 1 1.03245695979201
12 1 0.972494993920345
13 1 1.04475586641002
14 1 1.00693970486563
15 1 1.02158167188055
16 1 1.16905198352562
17 1 1.00744849997007
18 1 1.05114879677926
19 1 1.07550501791313
20 1 1.06527833367847
21 0 0.987230199656111
22 0 0.914650971806951
23 0 1.02059487282516
24 0 1.05026521371263
25 0 0
26 0 1.05592370908069
27 0 1.05532425431113
28 0 1.09323686622827
29 0 1.00110158327438
30 0 1.15121465037103
31 0 1.10388064452322
32 0 0.941954245756118
33 0 1.03656818409766
34 0 1.01097268072624
35 0 1.01597223398849
36 0 1.10423539270519
37 0 1.05974980535453
38 0 0.969706245125192
39 0 1.0136208864982
40 0 1.18372734830484
