model flag error
1 0 0.92457613532796
2 0 0.902289536670368
3 0 0.935391207914155
4 0 0.988979057932131
5 0 0.961307432504845
6 0 0.940003211919908
7 0 0.953572059976093
8 0 0.91537851041856
9 0 0.950950496045918
10 0 0.987418992471859
11 0 0.931399060636313
12 0 1.02479974995545
13 0 0.993152431658799
14 0 0.960178344767509
15 0 0.933358951281695
16 0 0.954511210663581
17 0 0.983228730836235
18 0 0.986093562481215
19 0 0.909173956920919
20 0 1.13056441251236
21 1 0.894425567919979
22 1 0.943715913195011
23 1 0.880504125612878
24 1 0.94552666342941
25 1 0.944234599908177
26 1 0.919071670123009
27 1 0.8603156354892
28 1 0.927464686600411
29 1 0.951133272044321
30 1 0.925757650630001
