model flag error
1 0 1.02196340589502
2 0 0.964820118741766
3 0 0.989591926285647
4 0 0.936497442978757
5 0 0.966381820670569
6 0 0.963832066298401
7 0 0.988096607345226
8 0 0.959259742899186
9 0 0.979089137201316
10 0 0.947900485744608
11 0 1.03170793942819
12 0 1.01184943899629
13 0 0.93040685330996
14 0 0.979536883391438
15 0 0.926120525003822
16 0 0.983511172027095
17 0 0.969764745351308
18 0 0.976523633233362
19 0 0.936313634086968
20 0 0.933179683884041
21 1 0.906321925384422
22 1 0.931564910041042
23 1 0.927476767866237
24 1 0.916565619626774
25 1 0.949083863800087
26 1 0.896999824362293
27 1 0.900744803489796
28 1 1.00671521728725
29 1 0.912480614333497
30 1 0.956260681903414
31 1 0.989946638741659
32 1 0.892166674139427
33 1 0.934052761393224
34 1 0.921019088755473
35 1 0.900817318676978
36 1 0.945453609786992
37 1 0.925959080950487
38 1 0.956468050301196
39 1 0.959711304406006
40 1 0.934428564695393
