model flag error
1 0 0.999701095039706
2 0 0.999666750907886
3 0 0.999611585853906
4 0 0.999681618157821
5 0 0.999631106170796
6 0 0.999659963414792
7 0 0.999619507263684
8 0 0.999657105164601
9 0 0.999669392555635
10 0 0.999645613282125
11 0 0.999641140663589
12 0 0.999634258509696
13 0 0.999623546221465
14 0 0.999627152483158
15 0 0.999627311334938
16 0 0.999699759080343
17 0 0.999567451648378
18 0 0.999662318332732
19 0 0.999634590409355
20 0 0.999704887108671
21 1 0.999647265864183
22 1 0.999661071992182
23 1 0.999645842652069
24 1 0.999689384453972
25 1 0.99967357704514
26 1 0.999654445849645
27 1 0.999622190295731
28 1 0.999688150455885
29 1 0.999699262070826
30 1 0.999690779222535
31 1 0.999645838709635
32 1 0.999670089561172
33 1 0.999672937835258
34 1 0.999667822944763
