model flag error
1 0 0.986274509803922
2 0 0.987394957983193
3 0 0.988304505540088
4 0 0.989355742296919
5 0 0.988515406162465
6 0 0.987394957983193
7 0 0.985714285714286
8 0 0.988235294117647
9 0 0.986483649733396
10 0 0.988515406162465
11 0 0.987675070028011
12 0 0.984873949579832
13 0 0.990756302521009
14 0 0.991036414565826
15 0 0.988795518207283
16 0 0.987675070028011
17 0 0.987394957983193
18 0 0.983193277310925
19 0 0.98655462184874
20 0 0.981512605042017
21 1 0.98515406162465
22 1 0.984593837535014
23 1 0.987114845938375
24 1 0.98375350140056
25 1 0.988515406162465
26 1 0.982352941176471
27 1 0.984873949579832
28 1 0.989635854341737
29 1 0.98515406162465
30 1 0.984033613445378
