model flag error
1 0 0.977237851662404
2 0 0.985933503836317
3 0 0.984581658750457
4 0 0.982754841066862
5 0 0.980745341614907
6 0 0.977018633540373
7 0 0.979064669345999
8 0 0.976799415418341
9 0 0.979028132992328
10 0 0.977895506028499
11 0 0.979941541834125
12 0 0.980087687248813
13 0 0.980233832663501
14 0 0.980379978078188
15 0 0.982572159298502
16 0 0.975593715747169
17 0 0.983704786262331
18 0 0.982133723054439
19 0 0.975118743149434
20 0 0.984472049689441
21 1 0.993642674461089
22 1 0.992802338326635
23 1 0.992948483741323
24 1 0.993642674461089
25 1 0.991423012673919
26 1 0.992619656558276
27 1 0.992583120204604
28 1 0.992994090232237
29 1 0.993313847278042
30 1 0.992765801972963
31 1 0.993094629156011
32 1 0.993642674461089
33 1 0.993304652075161
34 1 0.989048127992739
35 1 0.992875411033979
36 1 0.993423456339058
37 1 0.992838874680307
38 1 0.993094629156011
39 1 0.993788819875777
40 1 0.990025575447571
