model flag error
1 0 1.16217144458717
2 0 1.12198151805491
3 0 1.1407977213543
4 0 1.24202196629976
5 0 1.16968398463433
6 0 1.16459628825001
7 0 1.17583576937071
8 0 1.1272917216323
9 0 1.17372021756241
10 0 1.20894934490348
11 0 1.13908502376582
12 0 1.26776538717609
13 0 1.21128462370595
14 0 1.18564683929844
15 0 1.17151232815209
16 0 1.19244329075506
17 0 1.1784674872098
18 0 1.24947004074062
19 0 1.12736071702638
20 0 1.39966750786624
21 1 1.15950813414465
22 1 1.19985717755104
23 1 1.18552325875508
24 1 1.2414605988839
25 1 1.22722140591705
26 1 1.19992727727141
27 1 1.13738883933911
28 1 1.16189962435855
29 1 1.22813647542317
30 1 1.14249975676227
