model flag error
1 0 0.562182685518816
2 0 0.487015360760218
3 0 0.548256980584312
4 0 0.481292678237605
5 0 0.574899126003488
6 0 0.544254011377069
7 0 0.514186260999229
8 0 0.500010173017951
9 0 0.496351067172431
10 0 0.492837953868708
11 0 0.578930697136988
12 0 0.513033011863934
13 0 0.551959324406518
14 0 0.486777566587315
15 0 0.488801007231316
16 0 0.477544603836915
17 0 0.50158436295294
18 0 0.512810599593888
19 0 0.49348095255455
20 0 0.501286935755241
21 1 0.492274155204216
22 1 0.546174338702887
23 1 0.484949687082122
24 1 0.499499784477243
25 1 0.479778571016571
26 1 0.476917984088306
27 1 0.434429614681885
28 1 0.533615767633288
29 1 0.481291522342113
30 1 0.507431029661429
31 1 0.521504759730056
32 1 0.469270839703724
33 1 0.512098517026353
34 1 0.497324860833535
35 1 0.492371213309736
36 1 0.485313254721874
37 1 0.479312899226493
38 1 0.507961925220234
39 1 0.520440930445673
40 1 0.491584957080183
