model flag error
1 0 1.65214527873472
2 0 1.4712061623848
3 0 1.46338026605664
4 0 1.47010628974531
5 0 1.56811834615566
6 0 1.56562518115286
7 0 1.46228942414519
8 0 1.73448183280188
9 0 1.58176249741545
10 0 1.54604162760256
11 0 1.61699205028764
12 0 1.52428461457298
13 0 1.44232965952768
14 0 1.44689282106993
15 0 1.45748887012652
16 0 1.56815930089143
17 0 1.3848764125974
18 0 1.48298830005273
19 0 1.59876624636509
20 0 1.44172275723671
21 1 0.885960193779782
22 1 0.996094135346479
23 1 0.971141615331668
24 1 0.952249574976087
25 1 1.03605301346111
26 1 1.03374857491847
27 1 0.993262269775053
28 1 1.06411349912363
29 1 1.05023365212014
30 1 1.09744190817156
31 1 0.983317820419266
32 1 0.970158641392387
33 1 0.963553435667333
34 1 1.10595120049337
35 1 0.949019327526075
36 1 1.02558001901315
37 1 0.916949710995431
38 1 0.95104100287603
39 1 0.971957540681658
40 1 1.05512905095389
