model flag error
1 0 0.219009641751096
2 0 0.225630645440258
3 0 0.236655856102727
4 0 0.222269291482864
5 0 0.210991428748245
6 0 0.236277415711655
7 0 0.232793282263114
8 0 0.227991622779491
9 0 0.226061237398983
10 0 0.212347776867783
11 0 0.22363919640636
12 0 0.212113038498848
13 0 0.229667772354559
14 0 0.229205064686181
15 0 0.225800712578721
16 0 0.211262396456575
17 0 0.229065818525258
18 0 0.217047012550563
19 0 0.218738301918916
20 0 0.230701794192444
21 1 0.18463399987062
22 1 0.203859796270458
23 1 0.214915123800511
24 1 0.20257308189701
25 1 0.210553206875489
26 1 0.238020128604977
27 1 0.227648988551831
28 1 0.217790976254841
29 1 0.213296854668755
30 1 0.214556041105888
31 1 0.223367494413041
32 1 0.212473396198389
33 1 0.23016259763641
34 1 0.236420585671334
35 1 0.189057916578435
36 1 0.238851064881798
37 1 0.20952528420801
38 1 0.197794419392227
39 1 0.212148298111117
40 1 0.228935811741959
