model flag error
1 0 0.852966404008945
2 0 0.843322824772847
3 0 0.813017979936428
4 0 0.830425488584919
5 0 0.829514907886842
6 0 0.862305448381605
7 0 0.85629653719929
8 0 0.839331839492531
9 0 0.84588739356697
10 0 0.844946280961588
11 0 0.823248339622927
12 0 0.84849830145044
13 0 0.839709574027914
14 0 0.852974272988615
15 0 0.831974701529988
16 0 0.843827676789616
17 0 0.849129063721158
18 0 0.84404931380723
19 0 0.851224915628351
20 0 0.834625356581161
21 1 0.799807780828699
22 1 0.792474369060628
23 1 0.787625004808462
24 1 0.791602498467553
25 1 0.794893069167682
26 1 0.774202296121618
27 1 0.791095664275116
28 1 0.785419159362949
29 1 0.820749438232412
30 1 0.844287390250591
