model flag error
1 0 1.1180164716797
2 0 1.12926757504245
3 0 1.12003244226554
4 0 1.10297452799975
5 0 1.15675703161787
6 0 1.12423285668447
7 0 1.11296061035362
8 0 1.08642116645603
9 0 1.10572997328905
10 0 1.1009122066876
11 0 1.11385690960382
12 0 1.1483449808223
13 0 1.09444998904761
14 0 1.13756983325339
15 0 1.05176494505505
16 0 1.11861225483826
17 0 1.12107061666526
18 0 1.0776889964346
19 0 1.20710456981535
20 0 1.18739416643774
21 1 1.13039057959184
22 1 1.09135764893907
23 1 1.10556008235872
24 1 1.09619995354609
25 1 1.15058986277431
26 1 1.01461419276675
27 1 1.06142238097152
28 1 1.11707863016758
29 1 1.03018026202841
30 1 1.03194775490622
31 1 1.06175789302806
32 1 1.12889854090966
33 1 1.07197509764158
34 1 1.08707471445653
