model flag error
1 0 1.18217810963398
2 0 1.24131338145962
3 0 1.1929681249199
4 0 1.29157450336143
5 0 1.27506658519951
6 0 1.40437472186321
7 0 1.30906404455797
8 0 1.3331989952656
9 0 1.17783756942044
10 0 1.25896560724239
11 0 1.22016595122754
12 0 1.22090797793962
13 0 1.21680854734942
14 0 1.2031601504273
15 0 1.29385859480089
16 0 1.47616604228056
17 0 1.25302390823693
18 0 1.25972271937226
19 0 1.26680523055614
20 0 1.31365503474104
21 1 1.31303947121574
22 1 1.32649351946811
23 1 1.30483933917077
24 1 1.3035779550752
25 1 1.40494463472044
26 1 1.39968032338159
27 1 1.31566722177514
28 1 1.3948187668739
29 1 1.40678804687215
30 1 1.39017982643278
31 1 1.3836900845296
32 1 1.33702136520536
33 1 1.38988830206839
34 1 1.46306798693501
35 1 1.36417787864158
36 1 1.31779993226532
37 1 1.31823263203231
38 1 1.39363731205013
39 1 1.36067235062344
40 1 1.41401584335257
