model flag error
1 0 0.989769899470602
2 0 0.990027819645732
3 0 0.989717531005276
4 0 0.989156525005069
5 0 0.991004958502812
6 0 0.98943554722254
7 0 0.990084725297682
8 0 0.988446178239177
9 0 0.990294719203249
10 0 0.989319625483606
11 0 0.991007176840673
12 0 0.989569197870518
13 0 0.990179498461294
14 0 0.988775129109531
15 0 0.990304879023187
16 0 0.988906259338733
17 0 0.987965127727109
18 0 0.989794233226092
19 0 0.989897843789927
20 0 0.990874280335003
21 1 0.991290051215177
22 1 0.992238279632196
23 1 0.991181151044965
24 1 0.991404572494266
25 1 0.991336494742951
26 1 0.990086351135635
27 1 0.991758141268159
28 1 0.990844399556954
29 1 0.991390069924227
30 1 0.990487156660661
31 1 0.991315274661677
32 1 0.991500260734956
33 1 0.98934801941107
34 1 0.991004254382427
35 1 0.991866689725617
36 1 0.99061135006964
37 1 0.992735487734639
38 1 0.991263927556912
39 1 0.990842955014736
40 1 0.991164101639025
