model flag error
1 0 0.945648174424436
2 0 0.951795493631919
3 0 0.945586330166815
4 0 0.942469379582739
5 0 0.943143481990803
6 0 0.949723711001631
7 0 0.946897428428371
8 0 0.953533317271057
9 0 0.950979149431328
10 0 0.950577161756794
11 0 0.941405658351665
12 0 0.946619129269078
13 0 0.95474546472042
14 0 0.949123821702711
15 0 0.949649497892486
16 0 0.9478869365503
17 0 0.945413166245478
18 0 0.936693125920979
19 0 0.951306923996717
20 0 0.942852813979987
21 1 0.948610514364461
22 1 0.940904719864939
23 1 0.951943919850209
24 1 0.939105051968181
25 1 0.949068161870853
26 1 0.945802785068487
27 1 0.942896104960321
28 1 0.946872690725323
29 1 0.940651158408695
30 1 0.943291908209092
31 1 0.946087268653542
32 1 0.936600359534548
33 1 0.94767666607439
34 1 0.95029267817174
