model flag error
1 0 0.851392407719709
2 0 0.853276829894804
3 0 0.854742491586544
4 0 0.849926746027969
5 0 0.852753379290611
6 0 0.850659576873839
7 0 0.853486210136481
8 0 0.852125238565579
9 0 0.853276829894804
10 0 0.852513960888783
11 0 0.853486210136481
12 0 0.850345506511324
13 0 0.853695590378158
14 0 0.851467032286439
15 0 0.852962759532288
16 0 0.855161252069898
17 0 0.851811168203064
18 0 0.850136126269647
19 0 0.854533111344867
20 0 0.857045674244992
21 1 0.855056561949059
22 1 0.861442659320213
23 1 0.863745841978661
24 1 0.857569124849185
25 1 0.855161252069898
26 1 0.85872071617841
27 1 0.857045674244992
28 1 0.855370632311575
29 1 0.848565774457068
30 1 0.847204802886166
